username,bonus_template_name,amount_deposited,num_deposits,num_bets,all_stake_total
BETR86628531,WOODS230222_Ajax,9120,288,288,766.8
BETR44739729,WOODS230222_Ajax,10440,1392,1392,161.6
BETR86267853,WOODS230222_Ajax,600,30,30,20
BETR96257998,WOODS230222_Ajax,330,15,15,96
BETR86974782,WOODS230222_Ajax,572,44,44,24
BETR52299673,WOODS230222_Ajax,400,20,20,20
BETR84947467,WOODS230222_Ajax,180,9,9,20
BETR25945866,WOODS230222_Ajax,400,20,20,90
BETR98766856,WOODS230222_Ajax,160,8,8,7.38
BETR25679228,WOODS230222_Ajax,22100,255,255,2790
BETR85936453,WOODS230222_Ajax,30,3,3,3
BETR87252575,WOODS230222_Ajax,20,1,1,1
BETR26837283,WOODS230222_Ajax,180,9,9,20
BETR57878255,WOODS230222_Ajax,20,1,1,1
BETR86659443,WOODS230222_Ajax,55,3,3,3
BETR63346823,WOODS230222_Ajax,20,1,1,1
BETR27663331,WOODS230222_Ajax,60,3,3,20
BETR67465353,WOODS230222_Ajax,40,2,2,2
BETR73425372,WOODS230222_Ajax,165,4,4,4
BETR56922720,WOODS230222_Ajax,680,12,12,120
BETR23274548,WOODS230222_Ajax,280,14,14,37
BETR89982227,WOODS230222_Ajax,335,22,22,22
BETR68759765,WOODS230222_Ajax,80,4,4,42
BETR82427664,WOODS230222_Ajax,80,4,4,13
BETR93945775,WOODS230222_Ajax,40,2,2,2
BETR86856323,WOODS230222_Ajax,20,1,1,1
BETR54749350,WOODS230222_Ajax,40,2,2,6
BETR44574498,WOODS230222_Ajax,160,6,6,6
BETR89982654,WOODS230222_Ajax,2580,172,172,136.34
BETR97493272,WOODS230222_Ajax,160,8,8,30
BETR73246731,WOODS230222_Ajax,260,13,13,35
BETR65244660,WOODS230222_Ajax,40,2,2,2
BETR79664973,WOODS230222_Ajax,40,2,2,6
BETR49879574,WOODS230222_Ajax,600,10,10,240
BETR93533934,WOODS230222_Ajax,16510,508,508,700.44
BETR32952635,WOODS230222_Ajax,180,9,9,16
BETR45563637,WOODS230222_Ajax,20,1,1,1
BETR36559724,WOODS230222_Ajax,20,1,1,1
BETR39933828,WOODS230222_Ajax,1600,96,96,66.15
BETR67875763,WOODS230222_Ajax,120,6,6,20
BETR56335445,WOODS230222_Ajax,12410,935,935,2103.31
BETR32527758,WOODS230222_Ajax,30,1,1,1
BETR78797252,WOODS230222_Ajax,1080,72,72,92.8
BETR57269282,WOODS230222_Ajax,1500,75,75,51.75
BETR45983787,WOODS230222_Ajax,160,8,8,28.2
BETR22876934,WOODS230222_Ajax,200,2,2,2
BETR59345830,WOODS230222_Ajax,740,37,37,35
BETR45749949,WOODS230222_Ajax,75,6,6,40
BETR25653884,WOODS230222_Ajax,60,3,3,10
BETR29459260,WOODS230222_Ajax,220,8,8,8
BETR85484459,WOODS230222_Ajax,120,6,6,20
BETR99748837,WOODS230222_Ajax,20,1,1,1
BETR94267852,WOODS230222_Ajax,40,2,2,20
BETR84668362,WOODS230222_Ajax,275,11,11,25
BETR77426962,WOODS230222_Ajax,40,2,2,20
BETR44859236,WOODS230222_Ajax,700,20,20,417.08
BETR84987456,WOODS230222_Ajax,240,12,12,30
BETR44934957,WOODS230222_Ajax,1240,62,62,121.86
BETR97665747,WOODS230222_Ajax,40,2,2,6
BETR92358422,WOODS230222_Ajax,2016,63,63,820.78
BETR32323596,WOODS230222_Ajax,140,7,7,27
BETR29634490,WOODS230222_Ajax,3360,168,168,379.08
BETR88495520,WOODS230222_Ajax,40,2,2,6
BETR99282591,WOODS230222_Ajax,200,16,16,40
BETR86395938,WOODS230222_Ajax,11176,704,704,790.4
BETR47937931,WOODS230222_Ajax,30,2,2,2
BETR38939371,WOODS230222_Ajax,40,2,2,2
BETR27725831,WOODS230222_Ajax,20,1,1,1
BETR37867934,WOODS230222_Ajax,39,2,2,2
BETR93368581,WOODS230222_Ajax,20,1,1,1
BETR76629357,WOODS230222_Ajax,1974,60,60,140
BETR76879288,WOODS230222_Ajax,100,1,1,1
BETR66376636,WOODS230222_Ajax,20,1,1,1
BETR58535447,WOODS230222_Ajax,700,35,35,33.99
BETR35687558,WOODS230222_Ajax,220,11,11,14
BETR35927838,WOODS230222_Ajax,340,17,17,8
BETR87328256,WOODS230222_Ajax,117,6,6,78
BETR56942766,WOODS230222_Ajax,20,1,1,1
BETR67825270,WOODS230222_Ajax,270,15,15,30
BETR97288335,WOODS230222_Ajax,20,1,1,1
BETR47679534,WOODS230222_Ajax,20,1,1,1
BETR23855655,WOODS230222_Ajax,30740,116,116,3422
BETR95672877,WOODS230222_Ajax,1715,56,56,48
BETR72448686,WOODS230222_Ajax,5865,483,483,403.2
BETR65596455,WOODS230222_Ajax,100,6,6,6
BETR97454662,WOODS230222_Ajax,20,1,1,1
BETR77862722,WOODS230222_Ajax,20,1,1,1
BETR33377949,WOODS230222_Ajax,7120,356,356,66.76
BETR48625585,WOODS230222_Ajax,350,7,7,50
BETR32757582,WOODS230222_Ajax,648,54,54,51
BETR97838479,WOODS230222_Ajax,100,5,5,6
BETR37752445,WOODS230222_Ajax,250,9,9,9
BETR46382565,WOODS230222_Ajax,120,15,15,30
BETR87643380,WOODS230222_Ajax,40,2,2,2
BETR62753240,WOODS230222_Ajax,3773,154,154,108.4
BETR46475656,WOODS230222_Ajax,400,20,20,37.5
BETR62435788,WOODS230222_Ajax,20,1,1,1
BETR94649580,WOODS230222_Ajax,1085,14,14,310
BETR79727272,WOODS230222_Ajax,20,1,1,1
BETR94273792,WOODS230222_Ajax,240,12,12,12
BETR48868463,WOODS230222_Ajax,420,21,21,11.86
BETR52936547,WOODS230222_Ajax,140,7,7,33
BETR58362982,WOODS230222_Ajax,783,54,54,216
BETR49935959,WOODS230222_Ajax,250,20,20,50
BETR92944526,WOODS230222_Ajax,600,3,3,10
BETR47749350,WOODS230222_Ajax,1620,90,90,375
BETR96457329,WOODS230222_Ajax,40,2,2,11
BETR55574371,WOODS230222_Ajax,40,2,2,2
BETR93674644,WOODS230222_Ajax,240,12,12,35
BETR54325356,WOODS230222_Ajax,45981,624,624,2832
BETR75793462,WOODS230222_Ajax,21,1,1,1
BETR72322870,WOODS230222_Ajax,29000,280,280,2800
BETR52762382,WOODS230222_Ajax,3020,151,151,30
BETR53755239,WOODS230222_Ajax,20,1,1,1
BETR59823482,WOODS230222_Ajax,20,1,1,1
BETR88492987,WOODS230222_Ajax,20,1,1,1
BETR86327724,WOODS230222_Ajax,160,8,8,160
BETR53272453,WOODS230222_Ajax,20,1,1,1
BETR76439833,WOODS230222_Ajax,185,10,10,40
BETR96279525,WOODS230222_Ajax,40,2,2,20
BETR45885869,WOODS230222_Ajax,20,1,1,1
BETR23699488,WOODS230222_Ajax,70,2,2,2
BETR87798738,WOODS230222_Ajax,425,17,17,39.38
BETR55824568,WOODS230222_Ajax,850,34,34,76.46
BETR48998320,WOODS230222_Ajax,240,12,12,20
BETR92274586,WOODS230222_Ajax,2140,107,107,166.39
BETR88426791,WOODS230222_Ajax,20,1,1,1
BETR63844848,WOODS230222_Ajax,20,1,1,1
BETR94848976,WOODS230222_Ajax,25,1,1,1
BETR86775976,WOODS230222_Ajax,100,8,8,50
BETR63996820,WOODS230222_Ajax,20,1,1,1
BETR26322826,WOODS230222_Ajax,20,1,1,1
BETR92843232,WOODS230222_Ajax,1600,80,80,184
BETR67736446,WOODS230222_Ajax,360,24,24,26
BETR85679336,WOODS230222_Ajax,30,2,2,2
BETR79239898,WOODS230222_Ajax,520,26,26,160.44
BETR33866658,WOODS230222_Ajax,20,1,1,1
BETR33773949,WOODS230222_Ajax,40,2,2,2
BETR88858585,WOODS230222_Ajax,10500,21,21,962
BETR98864828,WOODS230222_Ajax,1890,21,21,810.15
BETR78275781,WOODS230222_Ajax,260,3,3,3
BETR58592891,WOODS230222_Ajax,120,6,6,20.2
BETR34723523,WOODS230222_Ajax,1380,92,92,75.3
BETR63586786,WOODS230222_Ajax,25,1,1,1
BETR44242557,WOODS230222_Ajax,1600,40,40,55
BETR99345425,WOODS230222_Ajax,60,2,2,2
BETR65262749,WOODS230222_Ajax,9100,520,520,1640.32
BETR62646382,WOODS230222_Ajax,380,19,19,41
BETR24275643,WOODS230222_Ajax,910,52,52,124
BETR23984539,WOODS230222_Ajax,84,4,4,42
BETR68757952,WOODS230222_Ajax,20,1,1,1
BETR59568833,WOODS230222_Ajax,420,21,21,45.9
BETR42926480,WOODS230222_Ajax,180,9,9,20
BETR56296487,WOODS230222_Ajax,20,1,1,1
BETR69355539,WOODS230222_Ajax,10965,387,387,264.3
BETR59853588,WOODS230222_Ajax,40,2,2,20
BETR95622841,WOODS230222_Ajax,280,14,14,14
BETR85353847,WOODS230222_Ajax,62820,1140,1140,2522.63
BETR46282254,WOODS230222_Ajax,400,20,20,26
BETR74454425,WOODS230222_Ajax,109339,4611,4611,16389.06
BETR32473659,WOODS230222_Ajax,100,5,5,3
BETR49783277,WOODS230222_Ajax,140,7,7,10
BETR42823871,WOODS230222_Ajax,20,1,1,1
BETR75783470,WOODS230222_Ajax,90360,15060,15060,9487.8
BETR79262698,WOODS230222_Ajax,2320,116,116,166.28
BETR99974380,WOODS230222_Ajax,120,6,6,6
BETR54799942,WOODS230222_Ajax,552,18,18,33
BETR55427356,WOODS230222_Ajax,80,4,4,20
BETR62254822,WOODS230222_Ajax,2320,116,116,17
BETR78387699,WOODS230222_Ajax,20,1,1,1
BETR37493645,WOODS230222_Ajax,400,16,16,25
BETR62453898,WOODS230222_Ajax,160,8,8,2
BETR27638353,WOODS230222_Ajax,440,22,22,16.78
BETR92585224,WOODS230222_Ajax,480,24,24,122
BETR54366366,WOODS230222_Ajax,60,3,3,14
BETR95949269,WOODS230222_Ajax,20,1,1,1
BETR29374273,WOODS230222_Ajax,160,8,8,12
BETR83854742,WOODS230222_Ajax,20,1,1,1
BETR44832864,WOODS230222_Ajax,120,6,6,54
BETR49834269,WOODS230222_Ajax,85,2,2,2
BETR46353633,WOODS230222_Ajax,180,9,9,60
BETR93324624,WOODS230222_Ajax,20,1,1,1
BETR55883831,WOODS230222_Ajax,40,2,2,20
BETR94775531,WOODS230222_Ajax,100,5,5,20
BETR66848584,WOODS230222_Ajax,20,1,1,1
BETR75637582,WOODS230222_Ajax,186,12,12,40
BETR33375921,WOODS230222_Ajax,40,2,2,20
